minigrid	MiniGrid-SimpleCrossingS13N4	L3	ExpertBasedGraml
		0.3	consecutive	0.2800	0.1600
		0.3	non_consecutive	0.6400	0.1497
		0.5	consecutive	0.4400	0.0800
		0.5	non_consecutive	0.6800	0.0980
		0.7	consecutive	0.6800	0.0980
		0.7	non_consecutive	0.8400	0.0800
		0.9	consecutive	0.7600	0.1497
		0.9	non_consecutive	0.7600	0.2332
		1	consecutive	0.7600	0.1960
		1	non_consecutive	0.8800	0.0980
minigrid	MiniGrid-SimpleCrossingS13N4	L2	ExpertBasedGraml
		0.3	consecutive	0.2000	0.1871
		0.3	non_consecutive	0.6500	0.2000
		0.5	consecutive	0.5000	0.1581
		0.5	non_consecutive	0.9000	0.1225
		0.7	consecutive	0.2500	0.1581
		0.7	non_consecutive	0.7500	0.2236
		0.9	consecutive	0.6500	0.2000
		0.9	non_consecutive	0.8500	0.2000
		1	consecutive	0.6500	0.2000
		1	non_consecutive	0.7500	0.1581
minigrid	MiniGrid-SimpleCrossingS13N4	L4	ExpertBasedGraml
		0.3	consecutive	0.0400	0.0800
		0.3	non_consecutive	0.4800	0.1600
		0.5	consecutive	0.2800	0.2040
		0.5	non_consecutive	0.5600	0.0800
		0.7	consecutive	0.4000	0.1265
		0.7	non_consecutive	0.6000	0.1789
		0.9	consecutive	0.5200	0.0980
		0.9	non_consecutive	0.6000	0.2191
		1	consecutive	0.7600	0.1960
		1	non_consecutive	0.6400	0.1497
minigrid	MiniGrid-SimpleCrossingS13N4	L1	ExpertBasedGraml
		0.3	consecutive	0.4000	0.2494
		0.3	non_consecutive	0.8667	0.1633
		0.5	consecutive	0.5333	0.1633
		0.5	non_consecutive	0.8667	0.1633
		0.7	consecutive	0.6667	0.3651
		0.7	non_consecutive	0.8667	0.1633
		0.9	consecutive	0.8000	0.1633
		0.9	non_consecutive	0.5333	0.1633
		1	consecutive	0.8667	0.2667
		1	non_consecutive	0.8667	0.1633
minigrid	MiniGrid-SimpleCrossingS13N4	L5	ExpertBasedGraml
		0.3	consecutive	0.0333	0.0667
		0.3	non_consecutive	0.3333	0.1054
		0.5	consecutive	0.2667	0.0816
		0.5	non_consecutive	0.7333	0.1700
		0.7	consecutive	0.3000	0.1247
		0.7	non_consecutive	0.6000	0.0816
		0.9	consecutive	0.4333	0.0816
		0.9	non_consecutive	0.5000	0.1826
		1	consecutive	0.4000	0.1700
		1	non_consecutive	0.5333	0.1247
minigrid	MiniGrid-LavaCrossingS9N2	L1	ExpertBasedGraml
		0.3	consecutive	0.4000	0.1333
		0.3	non_consecutive	0.9333	0.1333
		0.5	consecutive	0.3333	0.2108
		0.5	non_consecutive	0.8000	0.2667
		0.7	consecutive	0.6667	0.3651
		0.7	non_consecutive	0.8667	0.1633
		0.9	consecutive	0.8667	0.1633
		0.9	non_consecutive	0.8667	0.2667
		1	consecutive	1.0000	0.0000
		1	non_consecutive	0.8667	0.1633
minigrid	MiniGrid-LavaCrossingS9N2	L2	ExpertBasedGraml
		0.3	consecutive	0.4000	0.1225
		0.3	non_consecutive	0.6500	0.3742
		0.5	consecutive	0.3000	0.2915
		0.5	non_consecutive	0.8000	0.1000
		0.7	consecutive	0.5000	0.1581
		0.7	non_consecutive	0.8000	0.1000
		0.9	consecutive	0.8500	0.2000
		0.9	non_consecutive	0.8500	0.2000
		1	consecutive	0.8500	0.1225
		1	non_consecutive	0.9000	0.1225
minigrid	MiniGrid-LavaCrossingS9N2	L3	ExpertBasedGraml
		0.3	consecutive	0.2000	0.0000
		0.3	non_consecutive	0.6800	0.0980
		0.5	consecutive	0.3600	0.1960
		0.5	non_consecutive	0.7600	0.1497
		0.7	consecutive	0.5600	0.1497
		0.7	non_consecutive	0.7600	0.0800
		0.9	consecutive	0.7600	0.1960
		0.9	non_consecutive	0.9200	0.0980
		1	consecutive	0.9600	0.0800
		1	non_consecutive	0.9600	0.0800
minigrid	MiniGrid-LavaCrossingS9N2	L4	ExpertBasedGraml
		0.3	consecutive	0.1000	0.0816
		0.3	non_consecutive	0.5333	0.1247
		0.5	consecutive	0.2000	0.1247
		0.5	non_consecutive	0.7000	0.1944
		0.7	consecutive	0.4333	0.1333
		0.7	non_consecutive	0.7000	0.1247
		0.9	consecutive	0.7667	0.1333
		0.9	non_consecutive	0.7667	0.0816
		1	consecutive	0.8000	0.1944
		1	non_consecutive	0.7333	0.1700
minigrid	MiniGrid-LavaCrossingS9N2	L5	ExpertBasedGraml
		0.3	consecutive	0.1429	0.0904
		0.3	non_consecutive	0.5714	0.2020
		0.5	consecutive	0.2857	0.0904
		0.5	non_consecutive	0.8000	0.0700
		0.7	consecutive	0.4000	0.0571
		0.7	non_consecutive	0.7429	0.2100
		0.9	consecutive	0.6571	0.1457
		0.9	non_consecutive	0.6286	0.2321
		1	consecutive	0.7429	0.1400
		1	non_consecutive	0.7429	0.0571
