minigrid	MiniGrid-SimpleCrossingS13N4	L1	Graql
		0.3	consecutive	0.5556	0.1571
		0.3	non_consecutive	0.7778	0.1571
		0.5	consecutive	0.7778	0.1571
		0.5	non_consecutive	1.0000	0.0000
		0.7	consecutive	0.5556	0.1571
		0.7	non_consecutive	0.8889	0.1571
		0.9	consecutive	1.0000	0.0000
		0.9	non_consecutive	1.0000	0.0000
		1	consecutive	0.8889	0.1571
		1	non_consecutive	1.0000	0.0000
minigrid	MiniGrid-SimpleCrossingS13N4	L2	Graql
		0.3	consecutive	0.3333	0.1179
		0.3	non_consecutive	0.8333	0.1179
		0.5	consecutive	0.5833	0.1179
		0.5	non_consecutive	0.8333	0.1179
		0.7	consecutive	0.8333	0.1179
		0.7	non_consecutive	0.9167	0.1179
		0.9	consecutive	0.8333	0.1179
		0.9	non_consecutive	0.9167	0.1179
		1	consecutive	1.0000	0.0000
		1	non_consecutive	0.9167	0.1179
minigrid	MiniGrid-SimpleCrossingS13N4	L3	Graql
		0.3	consecutive	0.6000	0.0000
		0.3	non_consecutive	0.8000	0.0000
		0.5	consecutive	0.6000	0.0000
		0.5	non_consecutive	1.0000	0.0000
		0.7	consecutive	0.8000	0.0000
		0.7	non_consecutive	1.0000	0.0000
		0.9	consecutive	0.8000	0.0000
		0.9	non_consecutive	1.0000	0.0000
		1	consecutive	1.0000	0.0000
		1	non_consecutive	1.0000	0.0000
minigrid	MiniGrid-SimpleCrossingS13N4	L4	Graql
		0.3	consecutive	0.4000	0.2000
		0.3	non_consecutive	0.7000	0.1000
		0.5	consecutive	0.4000	0.0000
		0.5	non_consecutive	0.9000	0.1000
		0.7	consecutive	0.7000	0.1000
		0.7	non_consecutive	0.7000	0.3000
		0.9	consecutive	0.5000	0.1000
		0.9	non_consecutive	0.8000	0.0000
		1	consecutive	1.0000	0.0000
		1	non_consecutive	0.9000	0.1000
minigrid	MiniGrid-LavaCrossingS9N2	L1	Graql
		0.3	consecutive	0.6667	0.0000
		0.3	non_consecutive	0.3333	0.0000
		0.5	consecutive	1.0000	0.0000
		0.5	non_consecutive	1.0000	0.0000
		0.7	consecutive	0.6667	0.0000
		0.7	non_consecutive	1.0000	0.0000
		0.9	consecutive	1.0000	0.0000
		0.9	non_consecutive	1.0000	0.0000
		1	consecutive	1.0000	0.0000
		1	non_consecutive	1.0000	0.0000
minigrid	MiniGrid-LavaCrossingS9N2	L2	Graql
		0.3	consecutive	0.5000	0.2041
		0.3	non_consecutive	0.3333	0.3118
		0.5	consecutive	0.5833	0.1179
		0.5	non_consecutive	0.9167	0.1179
		0.7	consecutive	0.5833	0.2357
		0.7	non_consecutive	1.0000	0.0000
		0.9	consecutive	0.7500	0.2041
		0.9	non_consecutive	1.0000	0.0000
		1	consecutive	1.0000	0.0000
		1	non_consecutive	0.9167	0.1179
minigrid	MiniGrid-SimpleCrossingS13N4	L5	Graql
		0.3	consecutive	0.1111	0.0786
		0.3	non_consecutive	0.7222	0.1571
		0.5	consecutive	0.2778	0.0786
		0.5	non_consecutive	0.7222	0.0786
		0.7	consecutive	0.3889	0.0786
		0.7	non_consecutive	0.7778	0.2079
		0.9	consecutive	0.8333	0.0000
		0.9	non_consecutive	0.7222	0.0786
		1	consecutive	0.7778	0.2079
		1	non_consecutive	0.6111	0.2079
minigrid	MiniGrid-LavaCrossingS9N2	L3	Graql
		0.3	consecutive	0.4000	0.0000
		0.3	non_consecutive	0.7000	0.1000
		0.5	consecutive	0.6000	0.0000
		0.5	non_consecutive	0.9000	0.1000
		0.7	consecutive	0.8000	0.0000
		0.7	non_consecutive	0.9000	0.1000
		0.9	consecutive	0.8000	0.0000
		0.9	non_consecutive	1.0000	0.0000
		1	consecutive	1.0000	0.0000
		1	non_consecutive	1.0000	0.0000
minigrid	MiniGrid-LavaCrossingS9N2	L4	Graql
		0.3	consecutive	0.4167	0.1863
		0.3	non_consecutive	0.6667	0.1179
		0.5	consecutive	0.3750	0.0722
		0.5	non_consecutive	0.7500	0.1443
		0.7	consecutive	0.5417	0.1382
		0.7	non_consecutive	0.7500	0.2500
		0.9	consecutive	0.7500	0.1443
		0.9	non_consecutive	0.9167	0.0833
		1	consecutive	0.9583	0.0722
		1	non_consecutive	0.9583	0.0722
minigrid	MiniGrid-LavaCrossingS9N2	L5	Graql
		0.3	consecutive	0.3333	0.0673
		0.3	non_consecutive	0.6667	0.1347
		0.5	consecutive	0.3810	0.1347
		0.5	non_consecutive	0.8095	0.0673
		0.7	consecutive	0.2857	0.1166
		0.7	non_consecutive	0.6667	0.1347
		0.9	consecutive	0.6190	0.1347
		0.9	non_consecutive	0.9048	0.0673
		1	consecutive	0.9048	0.1347
		1	non_consecutive	0.8571	0.0000
