panda	gc_agent	L111	continuing	graql
		0.3	0.4000	0.3266
		0.5	0.7333	0.1333
		0.7	0.9333	0.1333
		0.9	1.0000	0.0000
		1	1.0000	0.0000
panda	gc_agent	L111	fragmented	graql
		0.3	1.0000	0.0000
		0.5	1.0000	0.0000
		0.7	0.8667	0.1633
		0.9	0.9333	0.1333
		1	1.0000	0.0000
panda	gc_agent	L111	fragmented	graml
		0.3	1.0000	0.0000
		0.5	0.9333	0.1333
		0.7	1.0000	0.0000
		0.9	1.0000	0.0000
		1	0.9333	0.1333
panda	gc_agent	L111	continuing	graml
		0.3	0.3333	0.2108
		0.5	0.5333	0.2667
		0.7	1.0000	0.0000
		0.9	1.0000	0.0000
		1	1.0000	0.0000
panda	gc_agent	L222	fragmented	graql
		0.3	0.9500	0.1000
		0.5	1.0000	0.0000
		0.7	1.0000	0.0000
		0.9	1.0000	0.0000
		1	1.0000	0.0000
panda	gc_agent	L222	continuing	graql
		0.3	0.8000	0.1000
		0.5	0.7500	0.1581
		0.7	1.0000	0.0000
		0.9	1.0000	0.0000
		1	1.0000	0.0000
panda	gc_agent	L222	fragmented	graml
		0.3	0.8500	0.1225
		0.5	0.8500	0.1225
		0.7	0.9000	0.1225
		0.9	0.9500	0.1000
		1	0.9500	0.1000
panda	gc_agent	L222	continuing	graml
		0.3	0.6000	0.2000
		0.5	0.7500	0.1581
		0.7	0.8500	0.1225
		0.9	0.9000	0.1225
		1	0.8500	0.1225
panda	gc_agent	L333	fragmented	graql
		0.3	0.9667	0.0667
		0.5	0.9667	0.0667
		0.7	0.9667	0.0667
		0.9	1.0000	0.0000
		1	0.9667	0.0667
panda	gc_agent	L333	continuing	graql
		0.3	0.5333	0.1247
		0.5	0.8667	0.1247
		0.7	0.8667	0.0667
		0.9	1.0000	0.0000
		1	0.9333	0.0816
panda	gc_agent	L333	fragmented	graml
		0.3	0.9000	0.0816
		0.5	0.9000	0.0816
		0.7	0.9667	0.0667
		0.9	0.9667	0.0667
		1	0.9667	0.0667
panda	gc_agent	L333	continuing	graml
		0.3	0.5000	0.1054
		0.5	0.7333	0.0816
		0.7	0.8333	0.1491
		0.9	0.8333	0.1491
		1	0.8000	0.1944
panda	gc_agent	L444	fragmented	graql
		0.3	0.8667	0.0667
		0.5	0.9000	0.0816
		0.7	0.9667	0.0667
		0.9	1.0000	0.0000
		1	1.0000	0.0000
panda	gc_agent	L444	fragmented	graml
		0.3	0.6667	0.2357
		0.5	0.8667	0.1247
		0.7	0.9333	0.0816
		0.9	0.8333	0.0000
		1	0.9000	0.0816
panda	gc_agent	L444	continuing	graql
		0.3	0.2667	0.0816
		0.5	0.3667	0.1247
		0.7	0.6667	0.1826
		0.9	0.9667	0.0667
		1	1.0000	0.0000
panda	gc_agent	L444	continuing	graml
		0.3	0.2000	0.1944
		0.5	0.6333	0.0667
		0.7	0.8667	0.1247
		0.9	0.9000	0.0816
		1	0.9000	0.1333
panda	gc_agent	L555	fragmented	graql
		0.3	0.8222	0.0544
		0.5	0.8444	0.0544
		0.7	0.9111	0.1089
		0.9	0.8222	0.0544
		1	0.8889	0.0703
panda	gc_agent	L555	continuing	graql
		0.3	0.2444	0.0444
		0.5	0.4889	0.1507
		0.7	0.6667	0.1217
		0.9	0.7333	0.0544
		1	0.8667	0.0444
panda	gc_agent	L555	fragmented	graml
		0.3	0.6667	0.0703
		0.5	0.7556	0.1089
		0.7	0.6667	0.0703
		0.9	0.8000	0.1296
		1	0.7111	0.0544
panda	gc_agent	L555	continuing	graml
		0.3	0.1333	0.1089
		0.5	0.5333	0.1089
		0.7	0.6222	0.0889
		0.9	0.7333	0.0889
		1	0.6222	0.0544
