panda	PandaMyReachDense	L1	GCDraco
		0.3	consecutive	0.5000	0.1667
		0.3	non_consecutive	0.9167	0.1443
		0.5	consecutive	0.6667	0.0000
		0.5	non_consecutive	0.9167	0.1443
		0.7	consecutive	0.5833	0.2764
		0.7	non_consecutive	1.0000	0.0000
		0.9	consecutive	0.9167	0.1443
		0.9	non_consecutive	0.9167	0.1443
		1	consecutive	1.0000	0.0000
		1	non_consecutive	1.0000	0.0000
panda	PandaMyReachDense	L2	GCDraco
		0.3	consecutive	0.3750	0.1250
		0.3	non_consecutive	0.9375	0.1083
		0.5	consecutive	0.8125	0.1083
		0.5	non_consecutive	1.0000	0.0000
		0.7	consecutive	1.0000	0.0000
		0.7	non_consecutive	1.0000	0.0000
		0.9	consecutive	1.0000	0.0000
		0.9	non_consecutive	1.0000	0.0000
		1	consecutive	1.0000	0.0000
		1	non_consecutive	1.0000	0.0000
panda	PandaMyReachDense	L4	GCDraco
		0.3	consecutive	0.2667	0.0816
		0.3	non_consecutive	0.6667	0.1491
		0.5	consecutive	0.3667	0.1247
		0.5	non_consecutive	0.9000	0.0816
		0.7	consecutive	0.8333	0.1054
		0.7	non_consecutive	0.9333	0.1333
		0.9	consecutive	0.9667	0.0667
		0.9	non_consecutive	1.0000	0.0000
		1	consecutive	0.9333	0.0816
		1	non_consecutive	0.9333	0.0816
panda	PandaMyReachDense	L3	GCDraco
		0.3	consecutive	0.3333	0.1179
		0.3	non_consecutive	0.8750	0.1382
		0.5	consecutive	0.7083	0.0722
		0.5	non_consecutive	0.8333	0.1179
		0.7	consecutive	0.8750	0.0722
		0.7	non_consecutive	1.0000	0.0000
		0.9	consecutive	1.0000	0.0000
		0.9	non_consecutive	1.0000	0.0000
		1	consecutive	0.9583	0.0722
		1	non_consecutive	0.9583	0.0722
panda	PandaMyReachDense	L5	GCDraco
		0.3	consecutive	0.3111	0.2037
		0.3	non_consecutive	0.7778	0.0703
		0.5	consecutive	0.3778	0.1133
		0.5	non_consecutive	0.8889	0.0703
		0.7	consecutive	0.7111	0.1133
		0.7	non_consecutive	0.9111	0.0444
		0.9	consecutive	0.7778	0.1217
		0.9	non_consecutive	0.8444	0.0544
		1	consecutive	0.8667	0.1633
		1	non_consecutive	0.8889	0.0703
