panda	PandaMyReachDense	L1	GCGraml
		0.3	consecutive	0.3333	0.2981
		0.3	non_consecutive	0.9333	0.1333
		0.5	consecutive	0.6667	0.2108
		0.5	non_consecutive	0.9333	0.1333
		0.7	consecutive	1.0000	0.0000
		0.7	non_consecutive	0.9333	0.1333
		0.9	consecutive	0.8667	0.1633
		0.9	non_consecutive	1.0000	0.0000
		1	consecutive	1.0000	0.0000
		1	non_consecutive	0.9333	0.1333
panda	PandaMyReachDense	L2	GCGraml
		0.3	consecutive	0.6500	0.2000
		0.3	non_consecutive	1.0000	0.0000
		0.5	consecutive	0.8500	0.1225
		0.5	non_consecutive	0.9000	0.1225
		0.7	consecutive	0.9500	0.1000
		0.7	non_consecutive	1.0000	0.0000
		0.9	consecutive	0.9500	0.1000
		0.9	non_consecutive	1.0000	0.0000
		1	consecutive	0.9500	0.1000
		1	non_consecutive	0.9500	0.1000
panda	PandaMyReachDense	L4	GCGraml
		0.3	consecutive	0.4583	0.0722
		0.3	non_consecutive	0.7500	0.1863
		0.5	consecutive	0.8333	0.1179
		0.5	non_consecutive	0.8750	0.1382
		0.7	consecutive	0.8333	0.1179
		0.7	non_consecutive	0.7500	0.0833
		0.9	consecutive	0.7083	0.0722
		0.9	non_consecutive	0.7917	0.0722
		1	consecutive	0.7917	0.1382
		1	non_consecutive	0.7917	0.1382
panda	PandaMyReachDense	L3	GCGraml
		0.3	consecutive	0.6000	0.0816
		0.3	non_consecutive	0.9333	0.0816
		0.5	consecutive	0.7667	0.0816
		0.5	non_consecutive	0.9333	0.0816
		0.7	consecutive	0.9667	0.0667
		0.7	non_consecutive	0.9000	0.1333
		0.9	consecutive	0.8667	0.1247
		0.9	non_consecutive	0.8333	0.1054
		1	consecutive	0.7667	0.0816
		1	non_consecutive	0.8333	0.1054
panda	PandaMyReachDense	L5	GCGraml
		0.3	consecutive	0.2222	0.0000
		0.3	non_consecutive	0.5333	0.0444
		0.5	consecutive	0.6000	0.1663
		0.5	non_consecutive	0.8889	0.0703
		0.7	consecutive	0.7556	0.1089
		0.7	non_consecutive	0.8444	0.1133
		0.9	consecutive	0.6444	0.0831
		0.9	non_consecutive	0.8000	0.0831
		1	consecutive	0.7111	0.1133
		1	non_consecutive	0.6667	0.0703
