parking	Parking-S-14-PC-	L1	GCGraml
		0.3	consecutive	0.6667	0.2981
		0.3	non_consecutive	1.0000	0.0000
		0.5	consecutive	0.6000	0.2494
		0.5	non_consecutive	1.0000	0.0000
		0.7	consecutive	1.0000	0.0000
		0.7	non_consecutive	1.0000	0.0000
		0.9	consecutive	1.0000	0.0000
		0.9	non_consecutive	1.0000	0.0000
		1	consecutive	1.0000	0.0000
		1	non_consecutive	1.0000	0.0000
parking	Parking-S-14-PC-	L3	GCGraml
		0.3	consecutive	0.3333	0.1179
		0.3	non_consecutive	0.9167	0.1179
		0.5	consecutive	0.4167	0.1179
		0.5	non_consecutive	0.8333	0.1179
		0.7	consecutive	0.5833	0.1179
		0.7	non_consecutive	0.6667	0.1179
		0.9	consecutive	1.0000	0.0000
		0.9	non_consecutive	0.8333	0.1179
		1	consecutive	0.7500	0.2041
		1	non_consecutive	0.9167	0.1179
parking	Parking-S-14-PC-	L2	GCGraml
		0.3	consecutive	0.5833	0.3118
		0.3	non_consecutive	0.7500	0.0000
		0.5	consecutive	0.5000	0.2041
		0.5	non_consecutive	0.8333	0.1179
		0.7	consecutive	0.9167	0.1179
		0.7	non_consecutive	1.0000	0.0000
		0.9	consecutive	0.8333	0.1179
		0.9	non_consecutive	1.0000	0.0000
		1	consecutive	0.9167	0.1179
		1	non_consecutive	0.9167	0.1179
parking	Parking-S-14-PC-	L4	GCGraml
		0.3	consecutive	0.2000	0.1265
		0.3	non_consecutive	0.6800	0.0980
		0.5	consecutive	0.2000	0.1789
		0.5	non_consecutive	0.8000	0.1789
		0.7	consecutive	0.6400	0.0800
		0.7	non_consecutive	0.8400	0.1960
		0.9	consecutive	0.6800	0.0980
		0.9	non_consecutive	0.8400	0.1497
		1	consecutive	0.8400	0.1497
		1	non_consecutive	0.7600	0.1960
parking	Parking-S-14-PC-	L5	GCGraml
		0.3	consecutive	0.2500	0.1557
		0.3	non_consecutive	0.6429	0.0714
		0.5	consecutive	0.3571	0.2143
		0.5	non_consecutive	0.5357	0.0619
		0.7	consecutive	0.6071	0.1856
		0.7	non_consecutive	0.7143	0.1010
		0.9	consecutive	0.6071	0.1185
		0.9	non_consecutive	0.6429	0.1237
		1	consecutive	0.6786	0.1185
		1	non_consecutive	0.6786	0.1856
