point_maze	PointMaze-FourRoomsEnvDense-11x11	L1	Draco
		0.3	consecutive	0.5000	0.1667
		0.3	non_consecutive	1.0000	0.0000
		0.5	consecutive	0.6667	0.0000
		0.5	non_consecutive	1.0000	0.0000
		0.7	consecutive	1.0000	0.0000
		0.7	non_consecutive	1.0000	0.0000
		0.9	consecutive	1.0000	0.0000
		0.9	non_consecutive	1.0000	0.0000
		1	consecutive	1.0000	0.0000
		1	non_consecutive	1.0000	0.0000
point_maze	PointMaze-FourRoomsEnvDense-11x11	L2	Draco
		0.3	consecutive	0.7500	0.0000
		0.3	non_consecutive	1.0000	0.0000
		0.5	consecutive	1.0000	0.0000
		0.5	non_consecutive	1.0000	0.0000
		0.7	consecutive	0.8333	0.1179
		0.7	non_consecutive	1.0000	0.0000
		0.9	consecutive	1.0000	0.0000
		0.9	non_consecutive	1.0000	0.0000
		1	consecutive	1.0000	0.0000
		1	non_consecutive	0.9167	0.1179
point_maze	PointMaze-FourRoomsEnvDense-11x11	L3	Draco
		0.3	consecutive	0.5500	0.1658
		0.3	non_consecutive	0.7000	0.1732
		0.5	consecutive	0.8000	0.0000
		0.5	non_consecutive	0.9000	0.1000
		0.7	consecutive	0.8000	0.1414
		0.7	non_consecutive	0.6000	0.1414
		0.9	consecutive	0.8500	0.0866
		0.9	non_consecutive	0.7500	0.1658
		1	consecutive	0.8000	0.1414
		1	non_consecutive	0.7500	0.0866
point_maze	PointMaze-FourRoomsEnvDense-11x11	L4	Draco
		0.3	consecutive	0.3667	0.1247
		0.3	non_consecutive	0.6000	0.1700
		0.5	consecutive	0.7333	0.0816
		0.5	non_consecutive	0.6667	0.1491
		0.7	consecutive	0.6667	0.1054
		0.7	non_consecutive	0.7667	0.0816
		0.9	consecutive	0.8667	0.1247
		0.9	non_consecutive	0.8333	0.1054
		1	consecutive	0.7000	0.0667
		1	non_consecutive	0.8333	0.1054
point_maze	PointMaze-ObstaclesEnvDense-11x11	L1	Draco
		0.3	consecutive	0.7500	0.1443
		0.3	non_consecutive	1.0000	0.0000
		0.5	consecutive	0.9167	0.1443
		0.5	non_consecutive	1.0000	0.0000
		0.7	consecutive	1.0000	0.0000
		0.7	non_consecutive	1.0000	0.0000
		0.9	consecutive	1.0000	0.0000
		0.9	non_consecutive	1.0000	0.0000
		1	consecutive	1.0000	0.0000
		1	non_consecutive	1.0000	0.0000
point_maze	PointMaze-ObstaclesEnvDense-11x11	L2	Draco
		0.3	consecutive	0.6667	0.0000
		0.3	non_consecutive	1.0000	0.0000
		0.5	consecutive	0.7778	0.1571
		0.5	non_consecutive	1.0000	0.0000
		0.7	consecutive	1.0000	0.0000
		0.7	non_consecutive	1.0000	0.0000
		0.9	consecutive	1.0000	0.0000
		0.9	non_consecutive	1.0000	0.0000
		1	consecutive	1.0000	0.0000
		1	non_consecutive	1.0000	0.0000
point_maze	PointMaze-FourRoomsEnvDense-11x11	L5	Draco
		0.3	consecutive	0.3571	0.1237
		0.3	non_consecutive	0.7143	0.1750
		0.5	consecutive	0.8214	0.0619
		0.5	non_consecutive	0.8214	0.0619
		0.7	consecutive	0.5714	0.1750
		0.7	non_consecutive	0.7143	0.1010
		0.9	consecutive	0.6429	0.1237
		0.9	non_consecutive	0.7500	0.0619
		1	consecutive	0.6071	0.1185
		1	non_consecutive	0.7143	0.0000
point_maze	PointMaze-ObstaclesEnvDense-11x11	L3	Draco
		0.3	consecutive	0.6250	0.2165
		0.3	non_consecutive	1.0000	0.0000
		0.5	consecutive	0.7500	0.1768
		0.5	non_consecutive	1.0000	0.0000
		0.7	consecutive	0.9375	0.1083
		0.7	non_consecutive	1.0000	0.0000
		0.9	consecutive	1.0000	0.0000
		0.9	non_consecutive	1.0000	0.0000
		1	consecutive	1.0000	0.0000
		1	non_consecutive	1.0000	0.0000
point_maze	PointMaze-ObstaclesEnvDense-11x11	L4	Draco
		0.3	consecutive	0.2000	0.2000
		0.3	non_consecutive	0.6000	0.1414
		0.5	consecutive	0.4000	0.1414
		0.5	non_consecutive	0.4500	0.0866
		0.7	consecutive	0.7000	0.1000
		0.7	non_consecutive	0.7500	0.0866
		0.9	consecutive	0.6000	0.0000
		0.9	non_consecutive	0.6500	0.0866
		1	consecutive	0.6000	0.1414
		1	non_consecutive	0.5500	0.0866
point_maze	PointMaze-ObstaclesEnvDense-11x11	L5	Draco
		0.3	consecutive	0.4167	0.0833
		0.3	non_consecutive	0.6667	0.0000
		0.5	consecutive	0.5833	0.2500
		0.5	non_consecutive	0.7500	0.0833
		0.7	consecutive	0.9167	0.0833
		0.7	non_consecutive	0.7500	0.0833
		0.9	consecutive	0.7500	0.0833
		0.9	non_consecutive	0.7500	0.0833
		1	consecutive	0.8333	0.0000
		1	non_consecutive	0.8333	0.0000
